Best Fit,X Values
"[2568, 4350]","[0, 8, 17, 4, 30]"
"[2158, 4280]","[0, 8, 25, 3, 0]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2269, 4080]","[0, 9, 14, 0, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2784, 5460]","[14, 4, 25, 2, 0]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[3338, 5260]","[11, 3, 25, 4, 30]"
"[2160, 4600]","[0, 10, 25, 0, 0]"
"[3355, 5660]","[12, 5, 25, 0, 30]"
"[2787, 4205]","[8, 2, 25, 3, 23]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2837, 5275]","[9, 7, 19, 0, 23]"
"[3221, 5430]","[9, 6, 25, 0, 30]"
"[2841, 4850]","[7, 6, 18, 2, 30]"
"[2725, 5410]","[12, 5, 25, 2, 0]"
"[2937, 5515]","[9, 7, 25, 0, 15]"
"[2869, 5050]","[13, 4, 12, 3, 30]"
"[3253, 5690]","[7, 8, 25, 0, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[2940, 4450]","[14, 0, 18, 4, 30]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[3020, 5310]","[9, 5, 25, 4, 16]"
"[2660, 4970]","[11, 5, 14, 3, 20]"
"[2739, 4700]","[0, 9, 21, 2, 30]"
"[2602, 4355]","[0, 7, 25, 4, 19]"
"[2319, 4140]","[0, 9, 15, 0, 30]"
"[2455, 3500]","[0, 5, 25, 0, 30]"
"[2853, 5315]","[6, 8, 25, 0, 17]"
"[2629, 4250]","[7, 4, 15, 4, 30]"
"[3065, 4690]","[15, 0, 19, 4, 30]"
"[2790, 4300]","[12, 0, 25, 4, 16]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[3323, 5400]","[14, 3, 25, 0, 30]"
"[2710, 4930]","[0, 10, 25, 0, 22]"
"[3354, 5750]","[14, 4, 19, 4, 30]"
"[2675, 4110]","[15, 0, 16, 0, 30]"
"[2600, 3930]","[12, 0, 25, 0, 18]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2458, 4190]","[0, 8, 16, 3, 30]"
"[3020, 4310]","[12, 0, 25, 2, 30]"
"[3085, 5285]","[9, 5, 25, 3, 21]"
"[3109, 5845]","[5, 9, 25, 4, 17]"
"[2805, 4170]","[13, 0, 18, 3, 30]"
"[2725, 5410]","[12, 5, 25, 2, 0]"
"[3040, 4855]","[15, 0, 25, 4, 17]"
"[3248, 5220]","[13, 3, 25, 0, 30]"
"[2803, 4860]","[14, 3, 11, 3, 30]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2877, 4520]","[0, 7, 25, 4, 30]"
"[2820, 4250]","[14, 0, 18, 2, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[3373, 5890]","[7, 8, 25, 2, 30]"
"[2400, 5000]","[0, 10, 25, 4, 0]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2630, 3735]","[9, 0, 25, 3, 21]"
"[2983, 5585]","[6, 8, 25, 3, 15]"
"[3065, 4690]","[15, 0, 19, 4, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[2775, 5225]","[0, 10, 25, 4, 15]"
"[3459, 5730]","[13, 4, 25, 2, 30]"
"[2785, 5510]","[12, 5, 25, 3, 0]"
"[2570, 3965]","[13, 0, 18, 2, 23]"
"[2914, 5140]","[12, 4, 25, 0, 16]"
"[2525, 3210]","[7, 0, 25, 0, 30]"
"[3070, 5340]","[11, 5, 16, 4, 30]"
"[2694, 5200]","[12, 4, 25, 3, 0]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2615, 4150]","[15, 0, 10, 4, 30]"
"[3014, 5050]","[12, 4, 20, 0, 30]"
"[2675, 3840]","[11, 0, 25, 0, 24]"
"[2830, 4260]","[12, 0, 25, 3, 20]"
"[3535, 5960]","[12, 5, 25, 3, 30]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[2608, 4550]","[0, 8, 25, 3, 18]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[2675, 4110]","[15, 0, 16, 0, 30]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2650, 5000]","[0, 10, 20, 4, 20]"
"[3102, 5420]","[7, 7, 19, 4, 30]"
"[2620, 3800]","[10, 0, 25, 2, 20]"
"[2550, 3510]","[10, 0, 21, 0, 30]"
"[3114, 4990]","[10, 4, 25, 0, 30]"
"[2610, 3790]","[12, 0, 18, 1, 30]"
"[2928, 4920]","[13, 3, 15, 3, 30]"
"[2701, 4905]","[8, 6, 16, 3, 23]"
"[2600, 3390]","[8, 0, 25, 0, 30]"
"[2975, 4290]","[13, 0, 25, 0, 30]"
"[3290, 4870]","[14, 0, 25, 4, 30]"
"[2995, 4700]","[15, 0, 25, 2, 20]"
"[2770, 4445]","[15, 0, 21, 2, 19]"
"[3461, 5830]","[9, 6, 25, 4, 30]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2500, 3630]","[12, 0, 17, 0, 30]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[2827, 5180]","[8, 7, 12, 4, 30]"
"[2775, 4765]","[7, 5, 25, 2, 17]"
"[2915, 3970]","[9, 0, 25, 4, 30]"
"[2868, 5070]","[4, 8, 17, 4, 30]"
"[3188, 5440]","[13, 3, 25, 4, 18]"
"[2489, 4400]","[0, 9, 16, 2, 30]"
"[3107, 5745]","[9, 7, 25, 2, 17]"
"[2714, 4805]","[0, 9, 25, 2, 21]"
"[2955, 5360]","[12, 5, 23, 0, 18]"
"[2805, 4350]","[15, 0, 15, 3, 30]"
"[2669, 4450]","[9, 4, 14, 3, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[2840, 5200]","[0, 10, 25, 3, 20]"
"[2577, 4880]","[8, 7, 7, 4, 30]"
"[3135, 5630]","[12, 5, 22, 3, 20]"
"[3095, 5355]","[9, 5, 25, 4, 19]"
"[2940, 4660]","[14, 0, 25, 4, 16]"
"[2755, 4350]","[13, 0, 25, 3, 14]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[2255, 3585]","[12, 0, 14, 3, 19]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2814, 5240]","[5, 9, 15, 2, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2604, 3590]","[0, 4, 25, 4, 30]"
"[2651, 5280]","[9, 6, 25, 3, 0]"
"[2577, 5150]","[6, 7, 25, 4, 0]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[3210, 5765]","[12, 5, 25, 3, 17]"
"[2725, 4410]","[15, 0, 25, 0, 14]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[3095, 5355]","[9, 5, 25, 4, 19]"
"[3065, 4690]","[15, 0, 19, 4, 30]"
"[3145, 5250]","[8, 5, 25, 4, 24]"
"[3053, 4620]","[8, 3, 25, 3, 30]"
"[2561, 5020]","[7, 6, 25, 4, 0]"
"[2503, 5240]","[7, 8, 25, 0, 0]"
"[3488, 5620]","[13, 3, 25, 4, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[3020, 5100]","[9, 5, 18, 4, 30]"
"[2967, 5320]","[8, 7, 16, 3, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2710, 5330]","[11, 5, 25, 3, 0]"
"[2950, 4545]","[15, 0, 25, 0, 23]"
"[2635, 3800]","[0, 5, 25, 3, 30]"
"[2465, 4240]","[13, 0, 25, 4, 0]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[2430, 3630]","[12, 0, 12, 3, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[2477, 4400]","[4, 7, 11, 4, 30]"
"[2665, 3850]","[11, 0, 17, 4, 30]"
"[2205, 4205]","[9, 5, 13, 0, 17]"
"[2734, 4945]","[0, 9, 25, 4, 17]"
"[2555, 4050]","[15, 0, 10, 3, 30]"
"[2655, 4170]","[15, 0, 12, 3, 30]"
"[2800, 4960]","[11, 5, 13, 2, 30]"
"[2791, 4790]","[7, 6, 17, 2, 30]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[3019, 5230]","[13, 4, 15, 3, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[2850, 4350]","[14, 0, 25, 0, 22]"
"[2875, 4500]","[15, 0, 25, 0, 20]"
"[3020, 4715]","[15, 0, 25, 2, 21]"
"[2304, 4760]","[12, 4, 16, 4, 0]"
"[2989, 4930]","[11, 4, 21, 0, 30]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[2682, 5490]","[9, 7, 25, 2, 0]"
"[3055, 5480]","[12, 5, 25, 0, 18]"
"[2602, 5135]","[8, 7, 15, 4, 15]"
"[2643, 4635]","[0, 8, 25, 4, 17]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2725, 4170]","[15, 0, 17, 0, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2310, 4330]","[0, 10, 13, 0, 30]"
"[3066, 5330]","[8, 6, 25, 2, 22]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[3178, 5510]","[6, 8, 25, 0, 30]"
"[2862, 5335]","[8, 7, 25, 0, 15]"
"[2578, 4940]","[6, 8, 18, 0, 20]"
"[3127, 5480]","[6, 7, 25, 4, 22]"
"[3107, 5610]","[8, 7, 25, 2, 20]"
"[2580, 3975]","[13, 0, 16, 3, 25]"
"[3140, 4510]","[12, 0, 25, 4, 30]"
"[3015, 4570]","[13, 0, 25, 4, 22]"
"[2375, 3210]","[9, 0, 19, 0, 30]"
"[2715, 3730]","[9, 0, 21, 4, 30]"
"[2550, 3765]","[11, 0, 25, 0, 19]"
"[3039, 4810]","[9, 4, 25, 0, 30]"
"[2589, 4405]","[8, 4, 25, 0, 15]"
"[2550, 3690]","[12, 0, 18, 0, 30]"
"[3309, 5370]","[11, 4, 25, 2, 30]"
"[2915, 3970]","[9, 0, 25, 4, 30]"
"[2850, 4485]","[15, 0, 25, 0, 19]"
"[3014, 5335]","[13, 4, 25, 0, 17]"
"[2271, 3645]","[0, 6, 25, 0, 19]"
"[2705, 3510]","[7, 0, 25, 3, 30]"
"[2965, 4570]","[15, 0, 17, 4, 30]"
"[2615, 4150]","[15, 0, 10, 4, 30]"
"[3492, 6040]","[9, 7, 25, 3, 30]"
"[3011, 5290]","[9, 6, 16, 4, 30]"
"[2570, 3230]","[6, 0, 25, 2, 30]"
"[2942, 5305]","[6, 7, 25, 3, 17]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[2409, 4560]","[9, 4, 25, 2, 0]"
"[2965, 4570]","[15, 0, 17, 4, 30]"
"[3536, 6010]","[10, 6, 25, 4, 30]"
"[2552, 4580]","[5, 7, 11, 4, 30]"
"[3445, 5700]","[10, 5, 25, 4, 30]"
"[2576, 5100]","[8, 6, 25, 3, 0]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[3214, 5470]","[14, 4, 21, 0, 30]"
"[2580, 4275]","[15, 0, 17, 3, 17]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[3130, 5120]","[9, 5, 25, 0, 30]"
"[3339, 5530]","[13, 4, 25, 0, 30]"
"[3207, 5400]","[6, 7, 25, 2, 30]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[3084, 4830]","[8, 4, 25, 2, 30]"
"[3552, 6140]","[9, 7, 25, 4, 30]"
"[2854, 5330]","[14, 4, 15, 4, 18]"
"[3236, 5290]","[6, 6, 25, 4, 30]"
"[2765, 4150]","[11, 0, 25, 4, 18]"
"[3326, 5550]","[8, 6, 25, 3, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[3018, 5430]","[6, 8, 17, 4, 30]"
"[2987, 5140]","[6, 7, 25, 0, 26]"
"[3535, 5960]","[12, 5, 25, 3, 30]"
"[2409, 4360]","[0, 9, 12, 4, 30]"
"[3280, 5480]","[11, 5, 25, 0, 30]"
"[3327, 5600]","[6, 7, 25, 4, 30]"
"[2820, 4190]","[12, 0, 25, 2, 22]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2725, 3990]","[13, 0, 20, 0, 30]"
"[2575, 3700]","[0, 5, 25, 2, 30]"
"[3280, 5480]","[11, 5, 25, 0, 30]"
"[2478, 4280]","[0, 8, 25, 0, 20]"
"[2615, 3655]","[8, 0, 25, 4, 21]"
"[3266, 5450]","[8, 6, 25, 2, 30]"
"[2768, 4520]","[11, 3, 16, 2, 30]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2319, 4140]","[0, 9, 15, 0, 30]"
"[2865, 5215]","[0, 10, 25, 3, 21]"
"[2450, 3030]","[6, 0, 25, 0, 30]"
"[2975, 5380]","[12, 5, 19, 2, 22]"
"[2725, 5410]","[12, 5, 25, 2, 0]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[3044, 5170]","[12, 4, 17, 3, 30]"
"[2495, 4400]","[15, 0, 25, 2, 0]"
"[2694, 4210]","[6, 4, 19, 3, 30]"
"[2780, 4050]","[12, 0, 19, 3, 30]"
"[2680, 4830]","[0, 10, 18, 2, 30]"
"[2836, 5320]","[10, 6, 16, 4, 20]"
"[2995, 4550]","[15, 0, 20, 2, 30]"
"[2940, 4525]","[13, 0, 25, 4, 19]"
"[2685, 4505]","[5, 5, 25, 3, 17]"
"[2637, 4120]","[0, 7, 25, 0, 30]"
"[3112, 5620]","[9, 7, 25, 0, 22]"
"[2278, 4070]","[0, 8, 22, 0, 18]"
"[3034, 5205]","[11, 4, 25, 2, 19]"
"[2770, 4565]","[15, 0, 25, 2, 11]"
"[2635, 5150]","[10, 5, 25, 3, 0]"
"[3385, 5600]","[10, 5, 25, 3, 30]"
"[2962, 5260]","[7, 7, 25, 0, 22]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[2412, 3985]","[0, 7, 25, 0, 21]"
"[3369, 5470]","[11, 4, 25, 3, 30]"
"[3379, 5945]","[14, 4, 25, 4, 19]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[2635, 3800]","[0, 5, 25, 3, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2685, 4915]","[0, 10, 25, 0, 21]"
"[2769, 5380]","[13, 4, 25, 3, 0]"
"[2455, 4850]","[10, 5, 25, 0, 0]"
"[3417, 5860]","[8, 7, 25, 3, 30]"
"[3055, 4940]","[8, 5, 25, 0, 30]"
"[2825, 5080]","[12, 5, 12, 2, 30]"
"[2855, 3870]","[9, 0, 25, 3, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[2740, 4435]","[15, 0, 17, 4, 21]"
"[2664, 4270]","[8, 4, 19, 0, 30]"
"[2825, 4470]","[15, 0, 25, 0, 18]"
"[2710, 5330]","[11, 5, 25, 3, 0]"
"[2375, 4200]","[15, 0, 25, 0, 0]"
"[2379, 4400]","[7, 4, 25, 4, 0]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2603, 4890]","[12, 3, 25, 3, 0]"
"[3095, 5670]","[12, 5, 22, 4, 16]"
"[3139, 5545]","[14, 4, 25, 0, 19]"
"[2440, 3415]","[7, 0, 25, 4, 17]"
"[2580, 4460]","[9, 5, 14, 0, 30]"
"[3021, 5445]","[10, 6, 25, 0, 19]"
"[2817, 4420]","[0, 7, 25, 3, 30]"
"[2794, 4330]","[6, 4, 21, 3, 30]"
"[2859, 5020]","[0, 9, 25, 4, 22]"
"[2240, 2350]","[0, 0, 25, 4, 30]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2605, 3930]","[13, 0, 14, 3, 30]"
"[2635, 4885]","[0, 10, 25, 0, 19]"
"[3020, 5100]","[9, 5, 18, 4, 30]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[2939, 4940]","[0, 9, 25, 2, 30]"
"[2665, 3850]","[11, 0, 17, 4, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2921, 4710]","[5, 6, 25, 0, 30]"
"[2795, 4130]","[13, 0, 19, 2, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[3041, 5585]","[10, 6, 25, 2, 15]"
"[2412, 4720]","[7, 7, 18, 0, 14]"
"[2255, 2790]","[5, 0, 19, 3, 30]"
"[3235, 5780]","[12, 5, 25, 3, 18]"
"[2540, 4420]","[14, 0, 25, 4, 0]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2880, 4350]","[14, 0, 18, 3, 30]"
"[2577, 4160]","[0, 7, 19, 4, 30]"
"[2964, 4630]","[8, 4, 25, 0, 30]"
"[3311, 5470]","[7, 6, 25, 4, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2746, 4950]","[10, 6, 14, 0, 30]"
"[2776, 5085]","[7, 6, 25, 3, 11]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[3136, 5365]","[7, 6, 25, 4, 23]"
"[3208, 5450]","[4, 8, 25, 3, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2905, 4470]","[15, 0, 17, 3, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2455, 3500]","[0, 5, 25, 0, 30]"
"[2780, 4365]","[13, 0, 25, 3, 15]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2330, 3960]","[12, 0, 25, 3, 0]"
"[2711, 5380]","[9, 6, 25, 4, 0]"
"[2590, 4750]","[0, 10, 15, 3, 30]"
"[2607, 4680]","[6, 7, 13, 2, 30]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2817, 4420]","[0, 7, 25, 3, 30]"
"[3146, 5250]","[8, 6, 25, 0, 30]"
"[3095, 4490]","[13, 0, 25, 2, 30]"
"[3170, 4670]","[14, 0, 25, 2, 30]"
"[2666, 4730]","[8, 6, 13, 2, 30]"
"[2580, 4955]","[12, 5, 17, 0, 15]"
"[3065, 4735]","[14, 0, 25, 4, 21]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2790, 5170]","[0, 10, 25, 3, 18]"
"[2315, 3205]","[6, 0, 25, 4, 15]"
"[2620, 5070]","[9, 5, 25, 4, 0]"
"[2985, 5300]","[12, 5, 14, 3, 30]"
"[2575, 4140]","[15, 0, 19, 0, 20]"
"[2675, 3570]","[9, 0, 25, 0, 30]"
"[2564, 4615]","[11, 4, 19, 0, 17]"
"[2640, 4300]","[14, 0, 19, 4, 16]"
"[2480, 3645]","[9, 0, 25, 3, 15]"
"[2888, 5530]","[15, 3, 25, 4, 0]"
"[2650, 5230]","[11, 5, 25, 2, 0]"
"[3295, 5340]","[8, 5, 25, 4, 30]"
"[2912, 5500]","[9, 7, 25, 0, 14]"
"[3552, 6140]","[9, 7, 25, 4, 30]"
"[2376, 3690]","[0, 6, 18, 3, 30]"
"[2695, 3900]","[0, 5, 25, 4, 30]"
"[2269, 4080]","[0, 9, 14, 0, 30]"
"[3075, 5350]","[10, 5, 25, 2, 20]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2735, 4945]","[0, 10, 25, 0, 23]"
"[2862, 5200]","[9, 7, 16, 0, 30]"
"[3165, 4930]","[15, 0, 25, 4, 22]"
"[2300, 4020]","[14, 0, 25, 0, 0]"
"[3357, 5760]","[8, 7, 25, 2, 30]"
"[2450, 3435]","[9, 0, 25, 0, 21]"
"[2450, 3030]","[6, 0, 25, 0, 30]"
"[2324, 4455]","[0, 9, 19, 3, 15]"
"[2235, 4405]","[0, 10, 17, 0, 19]"
"[3280, 5480]","[11, 5, 25, 0, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[3294, 5290]","[10, 4, 25, 3, 30]"
"[2744, 4960]","[12, 4, 16, 3, 20]"
"[2837, 5050]","[6, 7, 25, 0, 20]"
"[2624, 5490]","[5, 9, 25, 3, 0]"
"[2500, 3810]","[14, 0, 14, 0, 30]"
"[2719, 4795]","[10, 4, 20, 3, 17]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2795, 3770]","[9, 0, 25, 2, 30]"
"[3460, 5780]","[11, 5, 25, 3, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2798, 5010]","[15, 3, 18, 0, 20]"
"[2990, 4150]","[10, 0, 25, 4, 30]"
"[2360, 4390]","[0, 10, 14, 0, 30]"
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[3137, 5635]","[9, 7, 25, 0, 23]"
"[2811, 5050]","[9, 6, 12, 4, 30]"
"[2953, 4970]","[3, 8, 25, 0, 30]"
"[3070, 5610]","[11, 5, 25, 4, 12]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[2666, 4010]","[0, 6, 25, 2, 30]"
"[2765, 3610]","[7, 0, 25, 4, 30]"
"[2869, 5170]","[13, 4, 16, 3, 22]"
"[3080, 4410]","[12, 0, 25, 3, 30]"
"[2450, 3390]","[10, 0, 19, 0, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2890, 4630]","[14, 0, 25, 4, 14]"
"[3233, 5870]","[7, 8, 25, 3, 22]"
"[2728, 4970]","[6, 8, 16, 0, 30]"
"[3069, 5155]","[10, 4, 25, 3, 21]"
"[2319, 4140]","[0, 9, 15, 0, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[2802, 5690]","[9, 7, 25, 4, 0]"
"[2754, 5300]","[12, 4, 25, 4, 0]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[2760, 4760]","[9, 5, 14, 3, 30]"
"[3091, 5480]","[9, 6, 25, 2, 20]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[2814, 4270]","[6, 4, 25, 0, 30]"
"[3395, 5805]","[11, 5, 25, 4, 25]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2555, 4640]","[8, 5, 25, 0, 10]"
"[2650, 5230]","[11, 5, 25, 2, 0]"
"[3165, 4930]","[15, 0, 25, 4, 22]"
"[3229, 5855]","[14, 4, 25, 4, 13]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2550, 3870]","[14, 0, 15, 0, 30]"
"[3135, 5720]","[12, 5, 25, 3, 14]"
"[2786, 4210]","[0, 6, 25, 4, 30]"
"[3144, 4930]","[8, 4, 25, 3, 30]"
"[3055, 4940]","[8, 5, 25, 0, 30]"
"[2885, 5000]","[10, 5, 15, 3, 30]"
