Best Fit,X Values
"[2525, 3210]","[7, 0, 25, 0, 30]"
"[3054, 4670]","[6, 4, 25, 4, 30]"
"[1817, 4360]","[8, 7, 7, 3, 2]"
"[2720, 3590]","[8, 0, 25, 2, 30]"
"[3264, 5350]","[12, 4, 25, 0, 30]"
"[2807, 5100]","[8, 7, 14, 2, 30]"
"[3116, 5090]","[6, 6, 25, 2, 30]"
"[3130, 5120]","[9, 5, 25, 0, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[2776, 4710]","[6, 6, 17, 3, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2180, 2250]","[0, 0, 25, 3, 30]"
"[2107, 4260]","[8, 7, 0, 2, 30]"
"[2571, 4650]","[9, 6, 12, 0, 30]"
"[2514, 4900]","[12, 4, 25, 0, 0]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
"[3086, 5290]","[8, 6, 19, 4, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2562, 5290]","[9, 7, 25, 0, 0]"
"[2428, 4250]","[0, 8, 25, 0, 18]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[3534, 5910]","[14, 4, 25, 2, 30]"
"[2655, 4020]","[11, 0, 25, 3, 16]"
"[3444, 5650]","[12, 4, 25, 3, 30]"
"[2620, 5070]","[9, 5, 25, 4, 0]"
"[2655, 4320]","[15, 0, 17, 3, 20]"
"[2965, 4675]","[14, 0, 25, 4, 17]"
"[3020, 4310]","[12, 0, 25, 2, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[3253, 5690]","[7, 8, 25, 0, 30]"
"[3039, 5215]","[12, 4, 25, 0, 21]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[3114, 5395]","[13, 4, 25, 0, 21]"
"[3326, 5550]","[8, 6, 25, 3, 30]"
"[3150, 5450]","[0, 10, 25, 4, 30]"
"[3354, 5390]","[10, 4, 25, 4, 30]"
"[2970, 5040]","[9, 5, 17, 4, 30]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[2825, 4470]","[15, 0, 25, 0, 18]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[3311, 5470]","[7, 6, 25, 4, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[3145, 4980]","[6, 5, 25, 4, 30]"
"[3130, 5120]","[9, 5, 25, 0, 30]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[3295, 5340]","[8, 5, 25, 4, 30]"
"[3402, 5780]","[7, 7, 25, 4, 30]"
"[2545, 5070]","[10, 5, 22, 4, 0]"
"[1705, 3120]","[11, 0, 14, 3, 0]"
"[2724, 5400]","[5, 9, 20, 3, 14]"
"[2055, 3360]","[9, 0, 24, 3, 0]"
"[2620, 3770]","[10, 0, 24, 2, 22]"
"[2540, 4810]","[0, 10, 18, 3, 22]"
"[2230, 4740]","[0, 10, 24, 2, 0]"
"[2468, 4320]","[0, 8, 18, 4, 24]"
"[2692, 5530]","[9, 7, 24, 3, 0]"
"[2791, 5315]","[10, 6, 21, 2, 13]"
"[3417, 5860]","[8, 7, 25, 3, 30]"
"[2910, 5050]","[0, 10, 25, 0, 30]"
"[3416, 5810]","[10, 6, 25, 2, 30]"
"[2862, 5200]","[9, 7, 16, 0, 30]"
"[3578, 5880]","[15, 3, 25, 3, 30]"
"[3065, 4330]","[11, 0, 25, 4, 30]"
"[3535, 5960]","[12, 5, 25, 3, 30]"
"[2549, 4500]","[0, 9, 16, 3, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
